prdt_info_typa,prdt_info_namk,prdt_info_name,prdt_info_natn,prdt_info_team,prdt_info_numb,prdt_info_posi,prdt_info_foot,prdt_info_heig,prdt_info_weig,prdt_info_agee,prdt_info_birt,prdt_ctts
월드컵,손흥민,Son Heung-min,대한민국,대한민국,7,FW(공격수),양발,183,78,33,1992-07-08,"
<div class='max-w-3xl mx-auto p-6 bg-white rounded-xl shadow-lg'>
  <img src='https://via.placeholder.com/600x400' alt='Son Heung-min' class='w-full h-64 object-cover rounded-lg mb-4'>
  <h1 class='text-2xl font-bold'>손흥민 (Son Heung-min)</h1>
  <div class='grid grid-cols-2 gap-4 mt-4 text-sm'>
    <div>포지션: FW(공격수)</div>
    <div>등번호: 7</div>
    <div>키: 183 cm</div>
    <div>몸무게: 78 kg</div>
    <div>나이: 33 세</div>
    <div>주발: 양발</div>
  </div>
</div>
"
월드컵,김민재,Kim Min-jae,대한민국,대한민국,4,DF(수비수),오른발,190,88,29,1996-11-15,"
<div class='max-w-3xl mx-auto p-6 bg-white rounded-xl shadow-lg'>
  <img src='https://via.placeholder.com/600x400' alt='Kim Min-jae' class='w-full h-64 object-cover rounded-lg mb-4'>
  <h1 class='text-2xl font-bold'>김민재 (Kim Min-jae)</h1>
  <div class='grid grid-cols-2 gap-4 mt-4 text-sm'>
    <div>포지션: DF(수비수)</div>
    <div>등번호: 4</div>
    <div>키: 190 cm</div>
    <div>몸무게: 88 kg</div>
    <div>나이: 29 세</div>
    <div>주발: 오른발</div>
  </div>
</div>
"
월드컵,이강인,Lee Kang-in,대한민국,대한민국,19,MF(미드필더),왼발,174,72,25,2001-02-19,"
<div class='max-w-3xl mx-auto p-6 bg-white rounded-xl shadow-lg'>
  <img src='https://via.placeholder.com/600x400' alt='Lee Kang-in' class='w-full h-64 object-cover rounded-lg mb-4'>
  <h1 class='text-2xl font-bold'>이강인 (Lee Kang-in)</h1>
  <div class='grid grid-cols-2 gap-4 mt-4 text-sm'>
    <div>포지션: MF(미드필더)</div>
    <div>등번호: 19</div>
    <div>키: 174 cm</div>
    <div>몸무게: 72 kg</div>
    <div>나이: 25 세</div>
    <div>주발: 왼발</div>
  </div>
</div>
"
